Nome do negócio;Valor do negócio;Qual feature está indisponível;Motivo fechamento perdido;Data entrada perdido CLOSER;Número de lojas;Observação;Observações de atividades
Porto Burger;;;No Show sequenciado;06/05/2025 13:50;1;;
Rio Novo drinks e restaurante;;;Limpeza de Funil;16/01/2025 08:56;1;;
Epico Café;;Smart POS GetNet;Feature indisponível;06/05/2025 09:26;;;
Cervejaria Liberte;450;"SmartPOS;Integração;Auto Atendimento - QR Code;Emissão de DANFE / NF";Não quis ouvir;06/06/2025 14:38;1;;
Guia Chef;;;No Show sequenciado;06/05/2025 13:51;0;;
Padaria Benincasa;;Leitor código de barras;Feature indisponível;06/05/2025 14:29;6;;
Pizza do Jegue - Gass;;;No Show sequenciado;06/05/2025 09:27;1;;
Lilah;150;;Não é prioridade;06/06/2025 14:40;1;;
Bigg`s e Isaias;480;"Cardápio Digital;Auto Atendimento;Totem;Fidelidade;Integração";Parou de responder;24/09/2025 12:16;14;;
Benedere Alimentação Saudável;;"Agendamento de pedidos / Encomendas;Integração";Feature indisponível;10/12/2024 09:29;1;;
Chalé Restaurante;;;Limpeza de Funil;27/10/2025 15:19;1;;
Rota 55 Lanches;;"Cardápio Digital;Integração";Esta satisfeito com o sistema atual;16/07/2025 18:44;2;;
Mãe Nobre;680;;Sem contato;06/06/2025 14:40;5;;
Aroeira Restaurante;;;Parou de responder;29/07/2025 14:26;2;;
Smart Burger;;;Não é prioridade;07/01/2025 15:11;1;;
Raiz;;;Parou de responder;15/05/2025 14:52;4;;
Walking Street Burguer;;;No Show sequenciado;06/05/2025 13:49;1;;
Mar a Fora;;;Fechou com concorrente;12/03/2025 16:09;1;;
Vegas Food - Gass;299;Cardápio Digital;Feature indisponível;11/12/2024 17:32;;;
Boteco de mae;450;;Parou de responder;29/07/2025 14:29;2;;
Tempero 85;;;No Show sequenciado;06/05/2025 13:49;1;;
La Bella Pizzaria;;"Auto Atendimento - QR Code;Relação Comanda x Mesa;Controle de validade - Estoque;Relatório / Alerta estoque mínimo;Cardápio Digital";Feature indisponível;29/07/2025 14:33;2;;
Kharimas Esfiharia;480;;Fechou com concorrente;22/10/2025 10:47;1;;
El Padre Floripa;;;No Show sequenciado;06/05/2025 13:49;3;;
La Carioca;450;"SmartPOS;Cardápio Digital;Fidelidade;Relatórios CMV - por produto";Parou de responder;01/07/2025 17:09;3;;
Chaves Confeitaria e restaurante;;;Empresa Encerrada;27/12/2024 10:19;2;;
Toffs;;;No Show sequenciado;06/05/2025 13:48;1;;
DeliciarTe;;;Limpeza de Funil;08/01/2025 14:20;1;;
Negócios Adriana;;"SmartPOS;Integração;Relação Comanda x Mesa";Feature indisponível;19/12/2024 09:39;5;;
Sushi Ponta Negra;480;"Fidelidade;Integração";Já é Cliente;01/07/2025 17:09;9;;
Grano Pizzeria;;;Limpeza de Funil;08/01/2025 14:20;1;;
Terrapí;;;No Show sequenciado;06/05/2025 09:25;1;;
Mr jow comerciobde alimentos;;;Limpeza de Funil;13/01/2025 14:01;1;;
Cantinho carioca;;;Limpeza de Funil;09/01/2025 12:45;1;;
Massa Nostra & Taubaté Express;299;;Parou de responder;06/06/2025 14:42;2;;
thie sushi;;;Limpeza de Funil;09/01/2025 09:54;1;;
Cervejaria Felsen;450;"Transferencia de mercadoria entre lojas;Smart POS PagBank;Emissão de DANFE / NF;Relação Comanda x Mesa";Não é prioridade;02/10/2025 09:05;5;;
Gardens Good Food e Melting Burgers;;;Parou de responder;29/07/2025 14:49;3;;
Tê bar de quintal;;;Limpeza de Funil;09/05/2025 14:58;;;
Panzeroni - Fatima;150;"Relatório / Alerta estoque mínimo;Integração;Robô de Whatsapp - pedidos;Totem;Pesquisa de Satisfação com Cliente;CRM - Disparo de campanha;Modulo Estoque Apartado;Modulo Financeiro Apartado;Fidelidade";Feature indisponível;08/09/2025 09:49;2;;
Panzeroni - Iguatemi;150;"Integração;Totem;Fidelidade;Pesquisa de Satisfação com Cliente;Controle de validade - Estoque;CRM - Disparo de campanha;Robô de Whatsapp - pedidos;Relatório / Alerta estoque mínimo;Modulo Estoque Apartado;Modulo Financeiro Apartado";Feature indisponível;08/09/2025 09:51;2;;
Luar do Canal;;;No Show sequenciado;06/05/2025 09:24;;;
In;;;Limpeza de Funil;09/05/2025 14:58;;;
Phoenix boliche;;;Limpeza de Funil;27/10/2025 15:19;;;
Sorvetes real;;;Não é prioridade;29/04/2025 16:26;2;;
Churrascaria Sirva-se Bem;;;Faturamento abaixo da SLA;07/03/2025 16:36;1;;
Servnutre - Fábrica de Salgados;;;Limpeza de Funil;27/10/2025 15:19;;;
Premiatta Pizza;;SmartPOS;Feature indisponível;11/03/2025 10:02;;;
Colucci Pizzaria;;;Esta satisfeito com o sistema atual;28/05/2025 16:23;1;;
Brigadelicia brigaderia;;Agendamento de pedidos / Encomendas;Feature indisponível;27/02/2025 20:42;1;;
Sorvetes real;;;Fechou com concorrente;09/04/2025 15:16;2;;
By Cuca Restaurante;450;;Parou de responder;14/05/2025 18:01;1;;
Pastel da Gare/Subway;450;;Vetado por decisão interna;29/09/2025 09:56;4;;
Vilamore;480;;Parou de responder;06/06/2025 14:43;1;;
Seu Nelson na Brasa;;;Parou de responder;09/04/2025 15:24;3;;
Bar Candreva;;;Parou de responder;09/04/2025 15:29;5;;
Sertão Xique-Xique;;;Parou de responder;27/04/2025 21:21;2;;
Varanda café bistrô;400;;Não é prioridade;03/12/2025 19:30;1;;
Tropeiros bar e restaurante;;;Parou de responder;09/04/2025 15:46;1;;
Renewh;;;Vetado por decisão interna;10/03/2025 17:17;1;;
RESERVA Gourmet;;;Budget;12/03/2025 10:18;1;;
Saint Sanpe Sushi Delivery;;;Limpeza de Funil;09/05/2025 14:58;;;
Ilha;;Auto Atendimento - QR Code;Feature indisponível;25/03/2025 10:20;1;;
Casa Catarino;;;Limpeza de Funil;09/05/2025 14:58;;;
Impettus;;;Fechou com concorrente;06/06/2025 14:45;80;;
Super Rango;480;;Esta satisfeito com o sistema atual;18/06/2025 16:25;1;;
Mafelô;;;Fechou com concorrente;14/03/2025 11:10;1;;
Cidinha Bolos;;Emissão de DANFE / NF;Feature indisponível;20/03/2025 16:30;1;;
Pasteis Takeda;;;Não é prioridade;14/03/2025 11:05;5;;
Mania de Grelhados;;;Esta satisfeito com o sistema atual;19/06/2025 11:49;4;;
Lanchonete Hamburgão;;;Não é prioridade;18/03/2025 14:07;1;;
Mash Mash Burguer;;;Fechou com concorrente;19/03/2025 17:10;1;;
Ideal Light;;"Agendamento de pedidos / Encomendas;Controle de validade - Estoque;Relatório / Alerta estoque mínimo";Feature indisponível;19/06/2025 11:48;3;;
Rustic restobar;;;Vetado por decisão interna;20/03/2025 10:36;1;;
Lá no dom sanduíches especiais;;;Limpeza de Funil;09/05/2025 14:58;;;
A Bolaria;;;Limpeza de Funil;09/05/2025 14:58;;;
SushiAqui!;;;Limpeza de Funil;09/05/2025 14:58;;;
Rei da Chapa;;;Limpeza de Funil;09/05/2025 14:58;;;
Valioso Burguer;;;Limpeza de Funil;09/05/2025 14:58;;;
DISTRIBUIDORA DJUZAO;;;Limpeza de Funil;09/05/2025 14:58;;;
Deliciê Gourmet Doceria;;;Limpeza de Funil;09/05/2025 14:58;;;
Brooklyn Delivery;;;Limpeza de Funil;09/05/2025 14:58;;;
Brooklyn Burguer e Hotdog;;;Limpeza de Funil;09/05/2025 14:58;;;
VF DISTRIBUIDORA DE BEBIDAS E COMERCIO EM GERAL;;;Limpeza de Funil;09/05/2025 14:58;;;
Castelo dos Piratas;;;Limpeza de Funil;09/05/2025 14:58;;;
Kammoro's Portion House;;;Limpeza de Funil;09/05/2025 14:58;;;
JL Distribuidora De Bebidas;;;Limpeza de Funil;09/05/2025 14:58;;;
Santuário da Pamonha;;;Limpeza de Funil;09/05/2025 14:58;;;
Santa Marta Pizzas+;;;Não é prioridade;28/03/2025 08:31;3;;
Prime marmitaria Fit/Spalha sabor ;450;;Budget;14/05/2025 18:02;2;;
Massagueirinha Piranhas;;;Vetado por decisão interna;13/03/2025 16:26;1;;
vrrefeicoes.com.br;;;Parou de responder;26/03/2025 18:10;1;;
Super Mario lanches;;;Parou de responder;06/06/2025 14:46;1;;
Sabor Caseiro;;"Emissão de DANFE / NF;Smart POS PagBank";Feature indisponível;27/03/2025 14:20;2;;
Restaurante Dona Tereza;;;Budget;09/05/2025 11:20;1;;
O Pajé - culinaria à beira mar;480;;Parou de responder;20/05/2025 11:31;2;;
ML Foods;;;Limpeza de Funil;24/03/2025 16:54;2;;
 Fabio Burger;480;;Fechou com concorrente;28/03/2025 11:24;1;;
NutriSun;;;Faturamento abaixo da SLA;18/03/2025 16:17;1;;
Dom Helddr;;;Limpeza de Funil;27/10/2025 15:19;;;
Chef Paprika;450;;Budget;11/04/2025 18:07;1;;
Adelso Buffet e Restaurante;450;"Smart POS PagBank;Cardápio Digital;Auto Atendimento - QR Code;Agendamento de pedidos / Encomendas;Reserva de mesas;Emissão de DANFE / NF";Feature indisponível;09/07/2025 15:54;1;;
Estrada do Açaí e Burger;;Cardápio Digital;Feature indisponível;25/03/2025 14:16;1;;
Brasa & Cia Churrascaria;450;;Esta satisfeito com o sistema atual;14/04/2025 15:50;1;;
Maná pizzaria e bistrô;;;Parou de responder;09/05/2025 11:20;1;;
NO BARZINHO SPORT BAR LTDA;450;SmartPOS;Feature indisponível;11/04/2025 18:06;1;;
Vini Figueira;450;CRM - Disparo de campanha;Feature indisponível;09/05/2025 10:45;2;;
brotherd;480;;Parou de responder;06/06/2025 14:47;1;;
Madalena Hamburgueria Artesanal;;;Limpeza de Funil;09/05/2025 14:58;;;
Viva Pâtisserie;;;Parou de responder;09/05/2025 11:20;1;;
Erika;;;Limpeza de Funil;09/05/2025 14:58;;;
Rango de Planta;450;;Esta satisfeito com o sistema atual;07/04/2025 09:24;1;;
Negócio de Pedro Maduro;;Auto Atendimento - QR Code;Feature indisponível;03/04/2025 13:54;1;;
Chun-Li Food;;;Limpeza de Funil;09/05/2025 14:58;;;
Shadow Wolf Beer Spot;;;Esta satisfeito com o sistema atual;07/04/2025 09:13;1;;
Elas Vida leve;;;Budget;03/04/2025 13:51;1;;
Don Diovani Pizza Artesanal;;Integração;Feature indisponível;01/04/2025 12:00;2;;
Lgr;;;Não é prioridade;09/05/2025 10:42;2;;
Café com letras fernando de noronha;480;;Parou de responder;20/05/2025 11:29;1;;
RR Lanches;480;;Parou de responder;06/06/2025 14:48;7;;
Consagrado's - Brew Garden;;;Esta satisfeito com o sistema atual;07/05/2025 13:54;1;;
Macuna arte;;SmartPOS;Feature indisponível;31/03/2025 16:31;1;;
Ai Calica Burguer;;"Smart POS PagBank;Cardápio Digital;Robô de Whatsapp - pedidos";Fechou com concorrente;22/10/2025 10:50;1;;
Dona Chocólatra;;;Parou de responder;06/06/2025 14:49;1;;
Saj;;;Vetado por decisão interna;03/04/2025 13:50;6;;
Bendito Trigo;450;;Parou de responder;06/06/2025 14:49;1;;
Zenpo Japanese Food;;;Parou de responder;09/05/2025 11:14;1;;
Villa Premium;;;Esta satisfeito com o sistema atual;16/07/2025 18:28;1;;
Café Helene BH;;Auto Atendimento;Feature indisponível;11/04/2025 14:56;2;;
Prosa;;;Esta satisfeito com o sistema atual;30/09/2025 16:07;2;;
Dieta Prática;;Emissão de DANFE / NF;Feature indisponível;09/05/2025 10:40;1;;
Dom Quixote;480;;Budget;28/05/2025 11:47;1;;
JAPA BOX - Delivery Culinária Oriental;;;Budget;09/05/2025 11:11;2;;
NYS Coffee Shop;;CRM - Disparo de campanha;Feature indisponível;09/05/2025 10:39;1;;
Lanchão do Boss;;;Não é prioridade;09/05/2025 11:09;1;;
GuiGui Pizzas Mooca;;Auto Atendimento - QR Code;Feature indisponível;09/05/2025 11:07;1;;
Afethu Cosina;;;Budget;09/05/2025 11:06;3;;
Lar de Mainha;450;"Smart POS PagBank;Cardápio Digital;Relação Comanda x Mesa;Robô de Whatsapp - pedidos";Fechou com concorrente;26/05/2025 16:32;1;;
Recanto do queijo;;;Não é prioridade;09/05/2025 11:05;1;;
Mister Frango;450;;Esta satisfeito com o sistema atual;17/06/2025 15:55;1;;
Don aurelio;;"Totem;Auto Atendimento;Auto Atendimento - QR Code";Feature indisponível;06/06/2025 14:50;5;;
CH Food Park;450;;Parou de responder;30/06/2025 14:35;1;;
Cabana;;;Budget;03/06/2025 09:24;3;;
Alfredo'Ro e Forneria Alfredo'Ro;;"SmartPOS Balcão;Cardápio Digital;Auto Atendimento - QR Code;Fidelidade;Reserva de mesas;Integração;Emissão de DANFE / NF;Relação Comanda x Mesa;Controle de validade - Estoque;Transferencia de mercadoria entre lojas;DFC;Relatório / Alerta estoque mínimo;SmartPOS";Feature indisponível;26/05/2025 16:28;2;;
Padaria Toscana;450;;Não tem Restaurante;29/09/2025 12:07;1;;
Cantina Volpi;;Smart POS Cielo;Feature indisponível;16/07/2025 17:14;5;;
La Ursa;;;Não é prioridade;09/05/2025 11:01;1;;
Toque de Mar;;Emissão de DANFE / NF;Feature indisponível;09/05/2025 10:48;1;;
Moqueca Sergipana;;Smart POS GetNet;Feature indisponível;09/05/2025 10:59;1;;
Estação Grill;;;Não quis ouvir;29/05/2025 16:13;1;;
Trevos;;;Parou de responder;06/06/2025 14:55;1;;
Gardenbier;;;Sem contato;06/06/2025 14:55;1;;
Évora Gastronomia;;;Não é prioridade;06/06/2025 14:55;1;;
Arena beach bar;;;Limpeza de Funil;27/10/2025 15:19;;;
Macarrao da Hora;;"Cardápio Digital;Auto Atendimento - QR Code";Parou de responder;06/06/2025 14:54;1;;
Artesano cozinha;;;Não quis ouvir;06/06/2025 14:54;1;;
Mangata Gastronomia;;;Budget;03/06/2025 09:23;2;;
BRZ Fruits Açaí Puro da Amazônia;590;;Budget;16/07/2025 17:20;1;;
Sr. Grão Cafeteria;;;Não é prioridade;29/04/2025 14:44;3;;
Nhack - Sabores do Mundo;;;Parou de responder;06/06/2025 14:54;1;;
Massagueirinha Maragogi-AL;;;Parou de responder;22/10/2025 10:51;;;
Osteria;;;Limpeza de Funil;27/10/2025 15:19;;;
Bar e Cozinha Ponto Zero;;;Budget;09/05/2025 10:54;1;;
Explorer bar;450;;Esta satisfeito com o sistema atual;02/06/2025 15:03;1;;
Ô Açaí;;;Parou de responder;06/06/2025 14:53;3;;
Dghuts Grill e Pinwei;480;Modulo Financeiro Apartado;Feature indisponível;19/06/2025 11:19;4;;
Dicco;;;Limpeza de Funil;03/06/2025 09:26;1;;
Casa Premium Rotisserie & Cafe;450;;Não quis ouvir;02/06/2025 15:04;1;;
Quintal da tomy;;;Parou de responder;03/06/2025 09:22;1;;
Dona docitos ;;;Parou de responder;26/05/2025 16:57;1;;
Marapendi ECOLOUNGE;;"SmartPOS;Smart POS PagBank";Não é prioridade;06/06/2025 14:53;1;;
Carbonito;255;;Não é prioridade;29/09/2025 09:33;1;;
Feijão da Vila;;;Limpeza de Funil;27/10/2025 15:19;;;
Bari Pizza & Pasta - Centro;620;;Budget;16/07/2025 18:19;1;;
piratas hot dog;450;;Não é prioridade;05/06/2025 15:47;2;;
Nola Sistema;;;;12/05/2025 17:43;;;
super grill express;;"Senha Numérica;Relatório / Alerta estoque mínimo;Uso Offline";Feature indisponível;19/06/2025 10:27;11;;
Seu edson bar;;;Parou de responder;06/06/2025 14:31;2;;
Schornstein Shopping H;480;"SmartPOS Balcão;Auto Atendimento - QR Code";Feature indisponível;01/10/2025 15:21;2;;
Doces Martini;450;"Cardápio Digital;Agendamento de pedidos / Encomendas;Emissão de DANFE / NF;Pesquisa de Satisfação com Cliente;CRM - Disparo de campanha;Robô de Whatsapp - pedidos;Relatório / Alerta estoque mínimo;Integração";Feature indisponível;09/10/2025 10:31;1;;
Shiroiki - Flora Ville;;"Auto Atendimento;Fidelidade;Integração;Relação Comanda x Mesa;Controle de validade - Estoque;CRM - Disparo de campanha;DFC;Robô de Whatsapp - pedidos;Relatório / Alerta estoque mínimo";Feature indisponível;28/05/2025 16:55;2;;
Empório do bolo;480;;Não é prioridade;30/05/2025 15:05;1;;
Go Juice - Natural Food;;Fidelidade;Feature indisponível;03/06/2025 09:27;1;;
Meraki pizzaria;;;Parou de responder;26/05/2025 16:52;2;;
Boss hamburgueria;;;Fechou com concorrente;27/05/2025 10:43;1;;
Bebedouro;;;Esta satisfeito com o sistema atual;05/06/2025 15:49;2;;
Flutuante Restaurante;;"Smart POS Cielo;Integração;Controle de validade - Estoque;Relatório / Alerta estoque mínimo";Feature indisponível;26/05/2025 11:16;2;;
Delícias da Naty;;;Esta satisfeito com o sistema atual;22/10/2025 10:55;1;;
Suspire Doceria;590;"Controle de validade - Estoque;Relatório / Alerta estoque mínimo";Feature indisponível;03/06/2025 08:51;1;;
Caule Cozinha Saudável;;;Budget;06/06/2025 14:30;1;;
Don crepe gourmet;;;Parou de responder;06/06/2025 14:29;2;;
N1 Chicken Cuiabá;;;Já é Cliente;13/06/2025 12:36;;;
N1 Chicken;;;Já é Cliente;13/06/2025 12:36;;;
Dom Guilherme;480;;Fechou com concorrente;17/06/2025 15:20;1;;
Fraters Pub;450;;Parou de responder;09/10/2025 10:32;1;;
Salgado Docinho;480;;Não é prioridade;29/09/2025 12:26;1;;
Delicioca;;;Fidelidade com outro sistema;19/06/2025 10:06;1;;
Empório Souza ;620;;Fechou com concorrente;16/07/2025 17:37;1;;
Coco Pimenta;;;Parou de responder;09/10/2025 10:32;1;;
Made By Nina;480;;Fechou com concorrente;18/06/2025 16:37;1;;
La Cuccina;480;;Fechou com concorrente;03/07/2025 10:37;1;;
Zimmerblaubc;;;Limpeza de Funil;27/10/2025 15:19;;;
Restaurante Sabor de Lá ;400;;Não é prioridade;19/06/2025 09:57;1;;
Caxanga restaurante;480;;Esta satisfeito com o sistema atual;09/10/2025 10:11;1;;
Milazzo Contemporaneo LTDA;540;;Parou de responder;22/10/2025 10:56;1;;
lanchonetes lual lanches;;;Fechou com concorrente;02/10/2025 12:05;4;;
Alfredo'Ro;450;"Calculadora de Precificação;Emissão de DANFE / NF;Relação Comanda x Mesa;CRM - Disparo de campanha;Transferencia de mercadoria entre lojas;Relatório / Alerta estoque mínimo;Modulo Financeiro Apartado";Feature indisponível;16/06/2025 10:23;1;;
Mister sushi;;;Esta satisfeito com o sistema atual;18/06/2025 16:54;1;;
Lindi Petiscaria Japonesa;450;"Relatório Motoboy Impresso;Integração";Feature indisponível;16/07/2025 17:39;1;;
ar rest;;;Não tem Restaurante;16/06/2025 14:55;1;;
Cafeteria Selo Verde;380;;Parou de responder;05/11/2025 16:55;1;;
hard chopp 2;530;;Fechou com concorrente;27/10/2025 17:27;;;
Os Girassois Restaurante;;;Integração com outras plataformas;01/07/2025 17:04;1;;
Pão do Paulo Padaria Artesanal;450;;Não é prioridade;19/06/2025 09:39;1;;
Dopo Pizzaria;400;"Integração;SmartPOS";Feature indisponível;29/07/2025 09:55;1;;
Maria Beijinho;;Uso Offline;Feature indisponível;17/06/2025 16:32;1;;
M&G;;;Não quis ouvir;30/09/2025 15:23;1;;
Cervejaria LF;450;Emissão de DANFE / NF;Feature indisponível;09/07/2025 15:55;1;;
jkr;;Smart POS PagBank;Feature indisponível;01/07/2025 17:00;3;;
O Sertão Vai Virar Mar;;;Processos internos não adaptáveis;23/06/2025 09:32;2;;
Restaurante Rancho Jatobá;400;;Budget;03/07/2025 10:24;1;;
Pizzaria Bau do Tesouro;450;;Parou de responder;30/06/2025 13:46;1;;
Pizzaria Bau do Tesouro - Novo(a) Deal;450;;Negócio em Duplicidade;23/06/2025 09:31;;;
A venda restaurante;450;;Parou de responder;01/07/2025 09:35;1;;
A venda restaurante - Novo(a) Deal;450;;Negócio em Duplicidade;23/06/2025 09:31;;;
Melhor pudim da vida;450;;Parou de responder;07/07/2025 09:46;2;;
Familia Presto;450;;Fidelidade com outro sistema;30/09/2025 15:27;2;;
Villare Pizzaria;450;;Esta satisfeito com o sistema atual;17/07/2025 18:46;2;;
Projeto Spettos;450;;Esta satisfeito com o sistema atual;16/07/2025 17:51;2;;
Da Família Restaurante;450;;Parou de responder;30/09/2025 15:28;1;;
The familys;450;;Parou de responder;01/07/2025 09:29;1;;
Summer Beach Party;;;Budget;24/06/2025 13:47;1;;
Quintal de casa Bistrô;450;;Vetado por decisão interna;27/06/2025 11:39;1;;
Magazzino di Carol;450;;Parou de responder;07/07/2025 09:43;1;;
Oca wine;450;;Esta satisfeito com o sistema atual;30/06/2025 13:50;3;;
Ramai;450;Auto Atendimento - QR Code;Feature indisponível;03/07/2025 10:48;1;;
Florescer bistrô;;;Budget;25/06/2025 16:58;1;;
Famiglia Gasperin Pizzaria;550;;Fechou com concorrente;06/11/2025 15:46;1;;
La Bella Arte & Gastronomia;450;;Não é prioridade;03/07/2025 10:49;1;;
Quintal do Chef;;;Parou de responder;27/10/2025 17:30;1;;
Bodega do mestre;450;;Parou de responder;14/07/2025 11:05;1;;
R R R refeições;;;Limpeza de Funil;27/10/2025 15:19;;;
Mundi Batataria;;;Budget;30/06/2025 13:41;4;;
Mississippi Delta Blues Bar RJ;390;;Não é prioridade;01/09/2025 14:46;1;;
Cabernet Butiquim;50;;Já é Cliente;24/09/2025 12:14;2;;
