name,url,phone,cnpj,streetAddress,neighborhood,zipcode,rating,email,cuisine,priceRange,regiao,instagramUrl,instagram_profile_url,instagram_user_id,seguidores,perfil_do_lead,punch_line
Temperao Lanches | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/temperao-lanches-costeira-do-pirajubae/72db2e2c-f58d-45f2-b41a-ed5e4c179890,48996721811,95876256000173,Avenida Governador Jorge Lacerda 1408,Costeira do Pirajubaé,88047003,4.7,,"""Lanches""","""$$""",Florianópolis,https://www.instagram.com/temperaochoppbar/,https://www.instagram.com/temperaochoppbar/,1967039468,,"O perfil parece ser de um estabelecimento gastronômico em Florianópolis, especializado em lanches, pizzas e drinks. A frequência de posts sugere uma presença ativa nas redes sociais, com foco em vídeos. Os destaques organizam o conteúdo em categorias específicas, indicando uma variedade de ofertas no cardápio.","Considere explorar como os vídeos podem destacar ainda mais a experiência gastronômica única que o Temperao Lanches oferece em Florianópolis, talvez mostrando o preparo dos lanches ou a interação com os clientes."
Chama Sushi Delivery | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/chama-sushi-delivery-centro/cada043a-9c09-4cf4-9580-12b4553033e3,48991213259,58019922000120,Rua Anita Garibaldi 275,Centro,88020120,4.8,luisalejandrodelgadillo90@gmail.com,"""Comida Japonesa""","""$""",Florianópolis,https://www.instagram.com/chama_sushi/,https://www.instagram.com/chama_sushi/,47883508996,3.930,"Chama Sushi Delivery é um restaurante especializado em comida japonesa localizado no centro de Florianópolis. O perfil destaca promoções e descontos significativos, como itens gratuitos e reduções de preço em compras acima de determinados valores. A operação parece focada em atrair clientes por meio de ofertas atrativas e um ambiente romântico, especialmente em datas comemorativas. A comunicação é direta, com ênfase em como os clientes podem fazer pedidos e chegar ao local. O restaurante utiliza o Instagram para engajar clientes, mostrando pratos e interagindo com seguidores.",Considere destacar a mudança para o novo endereço como uma oportunidade para atrair clientes locais e aumentar a visibilidade. Ofereça suporte na divulgação da nova localização para maximizar o fluxo de visitantes.
Dog da Lara | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/dog-da-lara-trindade/6cb2b0e8-e18e-47fd-bcd6-ebb528460a9d,48996330143,49827034000143,Rua Professor Belarmino Corrêa  71,Trindade,88036140,4.8,amanda.laraa@hotmail.com,"""Lanches""","""$""",Florianópolis,https://www.instagram.com/dogdalaraa/,https://www.instagram.com/dogdalaraa/,5478994759,3.088,"O perfil 'Dog da Lara' parece ser de um trailer de lanches localizado em Florianópolis, especializado em cachorros-quentes e sanduíches. Eles têm um menu variado que inclui opções vegetarianas, como salsichas vegetais, e sanduíches doces. O perfil também mostra um engajamento com eventos esportivos, promovendo interações com o público através de palpites em jogos de futebol, como visto em parcerias com times e instituições de futebol. A presença de elementos visuais, como cartazes promocionais e imagens de produtos, sugere uma estratégia de marketing visualmente atrativa.","Considere explorar colaborações em eventos esportivos locais, já que o perfil demonstra interesse em futebol, ou discutir sobre promoções que incentivem a participação dos seguidores, como o 'Acerte e Ganhe'."
John Black Sushi | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/john-black-sushi-saco-dos-limoes/833122f0-b9f5-4845-ba71-7019f76e76a5,48992098808,39994098000185,Rua José Brognoli 128,Saco dos Limões,88045520,4.8,efigueroa483@gmail.com,"""Comida Japonesa""","""$""",Florianópolis,https://www.instagram.com/johnblacksushi/,https://www.instagram.com/johnblacksushi/,66857316295,1.926,"John Black Sushi é um restaurante de comida japonesa localizado em Florianópolis, especializado em delivery. O perfil no Instagram destaca suas ofertas de sushi, como combinados e temakis, com promoções especiais em determinados dias da semana. A comunicação visual é direta e sem complicações, reforçada pelo slogan 'Sushi sem mimimi'. Os posts apresentam imagens de alta qualidade dos pratos, enfatizando a variedade e a apresentação cuidadosa dos sushis.","Considere destacar a simplicidade e a qualidade dos produtos oferecidos, sugerindo uma parceria para promover ainda mais o conceito de sushi acessível e sem complicações, especialmente para o público de Florianópolis."
Lola Marmitex - Restaurante | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/lola-marmitex---restaurante-morro-da-cruz/d6b15cd1-455e-4143-bf2a-a90a4a6a90e9,48999953412,51852258000157,RUA DOIS 258,MORRO DA CRUZ,88040446,4.7,monteirolola284@gmail.com,"""Marmita""","""$""",Florianópolis,https://www.instagram.com/marmitex_da_lola/,https://www.instagram.com/marmitex_da_lola/,53082621158,267,"O perfil parece estar associado a um serviço de marmitas chamado 'Marmita da Lola', localizado em Florianópolis, especificamente no bairro Morro da Cruz. A operação foca em oferecer refeições prontas, como carne de panela, fricassê e panquecas, em embalagens descartáveis. As postagens destacam pratos variados, incluindo macarrão com molho vermelho e carnes, sugerindo uma diversidade no cardápio. O serviço oferece entrega e aceita pagamentos com cartão, conforme indicado nos adesivos nas tampas das marmitas. A presença no iFood reforça a conveniência para pedidos online.","Considere destacar a conveniência e variedade das marmitas oferecidas, especialmente a combinação de macarrão com molho vermelho e carnes, como uma opção prática e saborosa para o dia a dia dos seus clientes."
Roraima Food | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/roraima-food-pantanal/e9923738-2712-484d-b7bc-3dc1aad78072,48991521669,57440269000106,Servidão Manoel Sebastião dos Santos 126,Pantanal,88040120,4.7,aidamargarcia11@gmail.com,"""Marmita""","""$""",Florianópolis,https://www.instagram.com/roraima.food/,https://www.instagram.com/roraima.food/,69704267306,50,"O perfil parece estar associado a um negócio de alimentação, possivelmente especializado em marmitas, com base em Florianópolis. As postagens mostram refeições típicas brasileiras, como frango à milanesa e pratos com arroz, feijão e salada, sugerindo um foco em comida caseira e acessível. A presença de embalagens de isopor indica que o serviço pode ser voltado para entregas ou refeições para viagem.","Considere destacar a importância de oferecer refeições completas e balanceadas, como a do último post, para atrair clientes que buscam praticidade sem abrir mão da qualidade nutricional."
Mandim Marmitex - Restaurante | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/mandim-marmitex---restaurante-morro-da-cruz/2e2076aa-de1d-4770-983b-b70f25b5ffff,48999576465,53793545000169,Rua Dois 258,Morro da Cruz,88040446,4.6,monteirolola284@gmail.com,"""Marmita""","""$""",Florianópolis,https://www.instagram.com/restaurantecantinadomarmitex/,https://www.instagram.com/restaurantecantinadomarmitex/,12598687452,1.156,"O perfil pertence a um restaurante chamado Mandim Marmitex, localizado em Florianópolis, especializado em marmitas. O restaurante destaca elogios, cardápio e serviço de entrega em seus stories. Recentemente, promoveu uma promoção de 50% de desconto em um pudim, incentivando pedidos pelo link disponível.","Considere explorar a promoção atual de pudim com desconto para atrair mais clientes, talvez oferecendo combos ou destacando a conveniência dos pedidos online."
Rei do Picadão - Porções | SAO JOSE | iFood,https://www.ifood.com.br/delivery/sao-jose-sc/rei-do-picadao---porcoes-areias/38de1711-8248-486f-8cf8-cd66b3998519,48992185984,33792727000108,Rua Francisco Jacinto de Melo 1449,Areias,88113300,4.7,taislenrcosta@gmail.com,"""Lanches""","""$$$""",Florianópolis,https://www.instagram.com/reidopicadaoingleses/,https://www.instagram.com/reidopicadaoingleses/,51056543131,,"O perfil do Rei do Picadão - Porções destaca promoções e interações com clientes, sugerindo um foco em atrair e manter a clientela. As postagens recentes mostram pratos variados, como frango empanado, anéis de cebola e batatas fritas, indicando uma especialização em porções e lanches, com uma apresentação casual e prática. A operação está localizada em São José, na região de Florianópolis, e parece utilizar o iFood como plataforma de vendas.","Considere explorar como a apresentação visual dos pratos pode ser otimizada para atrair ainda mais clientes, especialmente através de plataformas de entrega como o iFood."
Delícias Belijú (Doces-Geladinho Gourmet-Salgados) | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/delicias-beliju-doces-geladinho-gourmet-salgados-monte-verde/3be2cb8e-4c29-4d13-961f-2b1afcb5c052,48974009601,57576439000184,Rua do Tarumã 51,Monte Verde,88032330,5,jarinaaure@gmail.com,"""Doces &amp; Bolos""","""$""",Florianópolis,https://www.instagram.com/deliciasbeliju/,https://www.instagram.com/deliciasbeliju/,58638028137,1.394,"O perfil 'Delícias Belijú' parece focar na venda de doces, geladinhos gourmet e salgados, operando na região de Florianópolis, especificamente no bairro Monte Verde. A comunicação é feita principalmente através de vídeos e stories destacados, que incluem informações sobre clientes, bastidores, promoções e métodos de pagamento. A presença de um bolo de chocolate em uma das imagens sugere que a confeitaria é um dos produtos principais.","Considere explorar a popularidade dos vídeos para destacar a experiência sensorial dos seus produtos, como o bolo de chocolate, e aumentar o engajamento com o público."
American Burgers | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/american-burgers-agronomica/058ce2e6-2c3e-4016-97d6-a93dab985096,48988033618,40299657000116,Rua Rui Barbosa 600,Agronômica,88025301,4.5,danilofer.lima@outlook.com,"""Lanches""","""$""",Florianópolis,https://www.instagram.com/american.floripa/,https://www.instagram.com/american.floripa/,46775249887,3.736,"O perfil 'American Burgers' é especializado em lanches, especialmente hambúrgueres, e está localizado em Florianópolis, no bairro Agronômica. Eles destacam informações importantes como cardápio, avaliações, raio de entrega, horários e serviço de delivery. Os posts são focados em imagens de hambúrgueres suculentos, com ênfase em queijo derretido e bacon, sugerindo uma experiência visual e apetitosa para os seguidores. O destaque 'Bastidores' sugere que eles compartilham o processo de preparo dos lanches, criando uma conexão mais próxima com o público.","Considere destacar a qualidade dos ingredientes e a experiência visual dos hambúrgueres, que são o foco do último post, para atrair ainda mais a atenção dos seguidores."
Lacuna  Lanches e Marmitas | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/lacuna--lanches-e-marmitas-costeira-do-pirajubae/123673df-369c-4be6-8b78-84743f1a8a58,48991830195,60031405000119,Servidão Vital Manoel Vieira  60,Costeira do Pirajubaé,88047010,4.9,maicolino.14@hotmail.com,"""Lanches""","""$""",Florianópolis,,,,,,
Smash King | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/smash-king-pantanal/3ec78f8c-ba9d-4335-b2e5-85e9e1d94740,48996747170,32762746000129,RUA DEPUTADO ANTONIO EDU VIEIRA 1890,PANTANAL,88036700,4.9,www.joelmello@gmail.com,"""Lanches""","""$$""",Florianópolis,,,,,,
Acai Mil Grau Delivery | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/acai-mil-grau-delivery-carvoeira/4495262b-5a0b-4b5e-a694-d0db00d603e1,48991407329,53487333000153,Rua Marcus Aurélio Homem 34,Carvoeira,88040440,4.9,ramosamanda881@gmail.com,"""Açaí""","""$""",Florianópolis,,,,,,
Marmitas RR | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/marmitas-rr-trindade/54f43a16-0007-4e3d-b229-75356944228d,48988063195,50342853000180,Rua Ari Avanci dos Santos 134,Trindade,88036385,4.7,xlaine1@hotmail.com,"""Marmita""","""$""",Florianópolis,,,,,,
Meu Cantinho Açaí | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/meu-cantinho-acai-trindade/aa88f5ce-2fc8-4779-b91d-93f63114d687,48998330262,26956627000104,Rua Lauro Linhares 1106,Trindade,88036002,4.9,ammandabueno@hotmail.com,"""Açaí""","""$""",Florianópolis,,,,,,
Raupps Lanches | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/raupps-lanches-centro/da04f591-560b-49f5-867b-adea7c030f18,48988391207,51535406000100,Rua Silva Jardim 576,Centro,88020302,4.7,juniara.nunes@hotmail.com,"""Lanches""","""$""",Florianópolis,,,,,,
Salt Dog Lanches | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/salt-dog-lanches-saco-dos-limoes/ec5f80ea-bc6f-4e17-bd59-19e750d3ba41,48991017054,08397304000146,Rua Júlia Costa 43,Saco dos Limões,88045200,5,,"""Lanches""","""$""",Florianópolis,,,,,,
Best Açaí Floripa &amp; Best Açai da Ilha | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/best-acai-floripa--best-acai-da-ilha-trindade/0b332f3b-41ab-4a36-96e9-6f9ec9b5235e,48984221240,43090683000128,Rua Laércio Costa 342,Trindade,88036310,4.9,marinhotreino@hotmail.com,"""Açaí""","""$""",Florianópolis,,,,,,
X do Bruno  | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/x-do-bruno-agronomica/69e1cf36-a950-4bbc-983e-5ac7e0a6cf2d,48991864033,55598425000136,Rua Delminda Silveira 631,Agronômica,88025500,4.9,rodrigueselizabete282@gmail.com,"""Lanches""","""$""",Florianópolis,,,,,,
Seu Bené - Assados e Parmegiana | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/seu-bene---assados-e-parmegiana-trindade/6f7d369d-af33-45b0-8a97-45a3c5a4150a,48992767114,46875790000150,RUA ALBA DIAS CUNHA 244,TRINDADE,88036020,4.8,sheena_sabrina@yahoo.com,"""Marmita""","""$""",Florianópolis,,,,,,
Potato Planet | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/potato-planet-saco-dos-limoes/9ca44340-ac2c-4161-a374-bfb8aa308d8f,48991354876,54452567000128,Rua Marcos Nunes Viêira 89,Saco dos Limoes,88045240,4.9,potatoplanetfloripa@gmail.com,"""Lanches""","""$""",Florianópolis,,,,,,
Mega Lanches - Centro Floripa | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/mega-lanches---centro-floripa-centro/a0981f13-90c8-489a-9304-1024b411f682,48984022525,17781497000125,Rua Major Costa 50,Centro,88020400,4.6,cassio_m_b@hoymail.com,"""Lanches""","""$$""",Florianópolis,,,,,,
Vibe Dog | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/vibe-dog-carvoeira/bdaedf51-9338-4cde-91e3-f4191a58635f,48988257273,37633190000194,Rua Marcus Aurélio Homem 34,Carvoeira,88040440,4.9,camilakons@icloud.com,"""Lanches""","""$""",Florianópolis,,,,,,
Marmitas Gomes | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/marmitas-gomes-agronomica/2523a307-e31e-478e-8ca0-661684d39b92,48991997826,30705692000134,Rua Álvaro Ramos 573,AGRONOMICA,88036030,4.8,guisilva2323@hotmail.com,"""Marmita""","""$""",Florianópolis,,,,,,
Fnp Floripa - Frango Frito | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/fnp-floripa---frango-frito-saco-dos-limoes/30af13e5-19c6-43a6-9432-371b7b9df274,48998383300,41111456000106,Rua João Motta Espezim 333,Saco dos Limões,88045401,4.8,,"""Lanches""","""$""",Florianópolis,,,,,,
Ô Parmegiana | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/o-parmegiana-trindade/32e8aa10-3ff3-4f94-b7ab-3777d9660b00,48999390771,59470246000170,Rua Alba Dias Cunha 244,Trindade,88036020,4.8,matheusparolinir@outlook.com,"""Comida Brasileira""","""$""",Florianópolis,,,,,,
Marmitas-Delicias da Morgana - Entrega Rápida | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/marmitas-delicias-da-morgana---entrega-rapida-centro/45316165-ddf6-4afa-95e8-eb82d4d95007,48984306138,38398957000100,Avenida Hercílio Luz 356,Centro,88020000,4.4,deliciasdamorgana@gmail.com,"""Marmita""","""$""",Florianópolis,,,,,,
Quiosque Floripa Cachorro Quente &amp; Açai | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/quiosque-floripa-cachorro-quente--acai-saco-dos-limoes/78ea2786-17c0-4a7f-98ea-aaddbbbcae69,48999040005,63120450000138,Rua João Motta Espezim 524,Saco dos Limões,88045400,4.8,roberto40.crd@gmail.com,"""Lanches""","""$""",Florianópolis,,,,,,
Açaí Supreme Delivery | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/acai-supreme-delivery-centro/b6c029b3-f275-4080-9d44-ce30261b7533,48996622388,33434865000115,Rua Waldemiro Monguilhot 433,Centro,88020330,5,deisemoraesg@hotmail.com,"""Açaí""","""$$""",Florianópolis,,,,,,
Do Assador | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/do-assador-rio-tavares/bd061f53-52e0-4206-b904-67e353efd4a5,48992034770,23488795000124,Servidão Manoel da Silveira Guimarães 288,Rio Tavares,88048010,5,dudurssc@gmail.com,"""Comida Brasileira""","""$""",Florianópolis,,,,,,
Brigaderia Jujuba | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/brigaderia-jujuba-lagoa-da-conceicao/dd065153-ec2d-4c6d-b24a-f251f4f73378,48988760713,40199768000150,Rodovia Admar Gonzaga 4077,Lagoa da Conceição,88062001,4.9,samarapasold30@gmail.com,"""Doces &amp; Bolos""","""$""",Florianópolis,,,,,,
Doner Falafel Comida Árabe | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/doner-falafel-comida-arabe-santa-monica/1e5c2385-c3eb-4cb5-82bc-77fd0e83de75,48999857575,46479716000114,Rua Sérgio Rogerio Beims 89,Santa Monica,88035210,4.8,amjd-aresha@hotmail.com,"""Comida Árabe""","""$""",Florianópolis,,,,,,
Acai Super Amazonas | FLORIANOPOLIS | iFood,https://www.ifood.com.br/delivery/florianopolis-sc/acai-super-amazonas-agronomica/67b4f43a-7b42-407f-917b-169d4f150b02,48984690770,50193422000107,Rua Padre Schrader 590,Agronômica,88025090,4.8,dayanacelis020793@gmail.com,"""Açaí""","""$""",Florianópolis,,,,,,
