Nome do negócio,Nome do contato no negócio,Qual feature está indisponível,Motivo fechamento perdido,Data entrada perdido SDR,Data entrada perdido CLOSER,Número de lojas,Observação,Observações de atividades
Família Fortes - Vila Esperança,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,"**
 Mudando de ponto. Semana que vem começa",
Central Pizza - Centro,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Taiji Sushi Lounge - CENTRO,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,"Dúvidas sobre ofertas.
 03/06/2020: Disparo de mensagem para religação das ofertas, mas não obtive resposta.",
Frangaria Vila Olimpia - Vila Olímpia,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
The Original Cup&Cake - Itaim,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,"Não me responde mais.
 
 Cliente estava muito atarefado e acabava não respondendo as mensagens.",
Amilton's Restaurante - Centro,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Alex Lanches Vinhais - Vinhais,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,"05/12 - whatsapp com estratégia enviada
 03/12 - e-mail com estratégia enviado",
Jurubeba Restô de Praia - Praia do Ariramba (Mosqueiro),,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,"91981986607
 16/06/2020: A TD não atendeu, chamei no whats.",
Doce Delirio - Jardim Vinte e Cinco de Agosto,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Media Luna | Café Argentino - Alto da XV,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,41998958955 Abel,
Grão Empório Natural - Boa Viagem - Boa Viagem,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,"- 13/12 - Finalizei contato e me coloquei à disposição para conversar em momento oportuno para o cliente
 
 - 29/11 - email com informações sobre uso do painel, reforço da ""frase mágica"" e sugestão de oferta de boas vindas e clientes em risco
 
 - 28/11 - compilado de informações sobre o cliente em https://docs.google.com/spreadsheets/d/1PJ1wrwgRCd54Rp4B4z4r39Uvk16j1wFEFmIfW4TXjZA/edit?ts=5ddfd18d#gid=0
 
 - De posse dessas informações, Victor enviou mensagem via workplace para Agente Stone responsável pelo EC. A ideia é que o Agente nos ajude a fazer contato com o TD e incentivar o engajamento do mesmo com a ferramenta",
Bar Do Portugues Sanca - Centro,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,"05/12 - whatsapp com estratégia enviado.
 
 03/12 e-mail com estratégia enviados.",
Basilico Pizzeria Napoletana - POLO LAJEADO,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,Marcelo 54991358084,
Resenha Sports Bar - Vila Regente Feijó,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,Ativação Gui,
Hideout - Pompeia,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Coffee Time - Parque Senhor do Bonfim,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Ossobuco Restaurante - Fatima,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,"03/06/2020: Disparo de mensagem para religação das ofertas, mas não obtive resposta.",
212 Burger - Jardins,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,"Cliente entrou por inbound, aceitou a proposta de 149,90 mês com isenção nos primeiros 30 dias, já passou os dados, estou cadastrando na central para podermos baixar o aplicativo
 
 GISA: Jonatas foi quem concluiu a venda, orientou o cliente a instalar o app na maquininha e mandou wpp com vídeo que ensina a cadastrar os clientes. Fazer FUP perguntando dúvidas, abordando os principais pontos e certificando que o cliente se comprometa a ativar
 
 JONATAS: Cliente solicitou contato no dia 27/05 às 10h30, para receber orientações de como cadastrar os clientes.
 
 Começou a cadastrar antes mesmo do FUP;
 Hoje cadastrou 90% dos clientes;
 Solicitou o ajuste de campanhas de clientes em risco para 15 dias
 Estima cadastrar 400/500 até o fim da semana",
Grand Pizza - Centro,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,"86988820201
 07/01: Sente dificuldade com o cadastro dos clientes pelos garçons e quer um resgate de créditos mais rápido e sem precisar do aplicativo. Editei uma oferta ativa dele, sugeri ideias para novas ofertas, passei sugestão de envio de mensagem para os clientes que têm mais créditos e não baixaram o app ainda:
 ""Oi, boa tarde! Tudo bem? Aqui é o Gean da Grand Pizza. Você sabia que você já tem R$ 30,20 de desconto com a gente? Baixa o aplicativo da Collact e vem usar o seu desconto!"". TD ficou de focar mais no cadastro dos clientes e criar novas ofertas.
 
 @Ana Carvalho 18/05/2020: Liguei, mas o td atendeu e desligou. Chamei no whataapp. Visualizou e não respondeu
 25/05/2020: Tentei contato pelo whatsapp e não obtive resposta! Só visualizaram. {CAMPANHA DE OFERTAS ATIVAS}
 28/05/2020: Tentei novamente contato pelo whatsapp e não obtive resposta. visualizou e ouviu mas não respondeu; {CAMPANHA DE OFERTAS ATIVAS}
 03/06/2020: Disparo de mensagem para religação das ofertas, o td sinalizou para deixar ativo",
Los Cervejeiros & Los Hamburgueiros - Barra,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,- 13/12 - enviei wpp com sugestão de ofertas,
Elementum Temple Nh - Hamburgo Velho,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,"52997144005
 21/01: TD estava bem insatisfeito com a Collact, pois não estava conseguindo acessar o painel, mas consegui fazer o acesso com ele e fizemos uma videochamada com uma tour pelo painel. A conversa foi muito boa, ele disse que vai ter reunião com o time de marketing amanhã e que já vai treinar todos os funcionários. Sobre o EC, é referência na cidade e eles têm uma fábrica de cerveja e estão experimentando ter bares em alguns locais para, dando certo, expandir para outros locais.",
Armazém Doçura - Parque Manibura,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Crema Pituba - Pituba,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,"71999217338 - Bruno (responsável por Collact)
 - 04/12 - FUP email
 - 26/11 - TD não abriu o email
 - 25/11 - FUP email
 - 22/11 - Loom enviado por email : 
 https://www.loom.com/share/717e17ebc7d74d4791c479ba8e8c52d4",
Frutto Do Parque - Parque Taquaral,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Restaurante Da Lia - Centro,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Gigante Burger & Bbq - Casa Verde,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,,
Duca Charcutaria - Itacorubi,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Frutos Do Goias - Jardins Mangueiral/São Sebastião,,,Limpeza de Funil,2025-01-27T13:31:40.081Z,,,,
Futuro Refeitorio - Pinheiros,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"25/11 - Recebeu o vídeo de engajamento, porém só poderá começar a trabalhar nas ações a partir de segunda feira ( dia 02/12
 
 Video Loom: https://www.loom.com/share/9e61dd4ddaab4ea4909124cfd3f0dc2a",
Rubinho Express - Asa Norte,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,Felipe 61993338287,
Fabrica De Bolo - Centro,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"- Não passam trx desde 07/12
 
 **",
Cremolatto - Bom Retiro do Sul - Centro,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Kos Fresh Greek Bar - Vila Independencia,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,- 28/01 - enviei wpp --> cliente acabou de atingir 50 cadastros mas tem um potencial bizarro (+200 cadastros/semana),
Cheirin Bão Volta Redonda - Aterrado,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Santo Fogo Bauru - Vila Guedes de Azevedo,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"- 06/01 - Boas ofertas com boa taxa de resgate
 - 20/12 - TD pediu pra entrar em contato com Gabriela, gerente da unidade, e quem opera Collact no EC",
Smuv Smoothies Bebidas Saudáveis Ltda - Consolação,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,*,
Saborella - Zona Industrial (Guará),,,Sem contato,2024-10-08T15:11:34.784Z,,,"- 13/12 - Finalizei contato e me coloquei à disposição para conversar quando ele tiver interesse
 - 09/12 - FUP wpp
 - 26/11 - Homero está viajando (férias) e retorna na próxima semana. Pediu para marcarmos um papo.
 - 25/11 - FUP wpp
 - 21/11 - Loom enviado: https://www.loom.com/share/7ff4cb5f6782406d86eecf8835b8ccad",
Revolts Nutrition 3 - CENTRO,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"- 23/01 - Não utiliza Collact há umas duas semanas. Enviei wpp e TD disse que as vendas estão muito fracas. Fez propaganda de Collact há uns dois meses mas não viu resultados. Disse que acha que não sabe utilizar a ferramenta.
 Ofereci batermos um papo pra ele me explicar um pouco mais sobre a estratégia dela, sobre dúvidas pra eu poder ajudar a engajar novos clientes e trazer de volta os que já se cadastraram",
Coastberry - Tijuca,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"- 12/12 - readequei título das ofertas
 * Checar agente",
Dom Olivares - Jardim Vila Galvao,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Tartine Boulangerie - Centro,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,52000000000,
CHURRASCARIA A GAUCHA - Jardim Sumare,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,Retornar.,
Nhac Burguer - Centro,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,Inauguração 03/12,
Churrascao Do Sul - Taguatinga,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Armazem Bar - Parque Residencial Rita Vieira,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,68000000000,
EKS Suplementos - Centro - Centro,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,Cliente passa dinheiro e está pensando em uma forma de não excluir clientes que utilizam dinheiro.,
Quitanda Com Mais - Centro,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Delivery Lanches - Centro,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"Telefone: 84994055154
 Pessoas do caixa:
 Cida - 84 99205-6167
 Thiago - 84 99174-6338",
Piriquitos Bar - NUCLEO BARTHOLOMEU BUENO DE MIRANDA,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Restaurante Barramares Cotovelo (Praia) - Pium (Distrito Litoral),,SmartPOS;Relação Comanda x Mesa,Feature indisponível,2024-11-19T17:26:04.224Z,,2,"84999819898
 84998966847 wpp da Cleide (responsável por Collact)",
Acai Wave Express - CENTRO,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,43999774771,
Dulca - Hospital Sírio Libanês,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,12000000000,
Barzil Andirá - Centro,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,44000000000,
Churrascaria 393 - Santa Amália,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,17/07 - Conversei com o TD e se comprometeu a cadastrar mais - contato por telefone. Deixei meu wtp pra ser salvo.,
Crema Shopping da Bahia - CAMINHO DAS ARVORES,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"- 04/12 - FUP email
 - 02/12 engajamento subiu de 16-40% para 41-70% - aparentemente fizeram ação de BF (% de créditos subiu de 10 para 20%)
 Enviei email para o TD comentando sobre a ação
 
 - 26/11 - TD não abriu o email
 - 25/11 - FUP email
 - 22/11 - Loom enviado por email : 
 https://www.loom.com/share/717e17ebc7d74d4791c479ba8e8c52d4",
Euro Burguer - Centro,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Sanduíches Santa Marta - José De Alencar,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"03/06/2020: Disparo de mensagem para religação das ofertas, mas não obtive resposta - só visualizou.",
Johnny's Taste Burger - Chácara Santo Antônio,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Backerei - Asa sul,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
We Restaurante - Lago Sul,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,Ligar a partir das 15h.,
Coronel Mostarda - - Umarizal,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"03/06/2020: Disparo de mensagem para religação das ofertas, mas não obtive resposta - só visualizou.",
"Café ,INC. - Alphaville",,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,- 12/03 - não tem interesse em conversar,
Gelobol - Vista Alegre,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Contêiner Gourmet - MARIANGA,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"]@Ana Carvalho 25/05/2020:{CAMPANHA DE OFERTAS ATIVAS} Falei com o td, agendamos a damo para manhã às 14:15 
 @Ana Carvalho 26/05/2020: Falei com a TD, apresentei toda a plataforma e o compre local. A td está com delivery próprio e também pelo quero delivery. tem 2 óticas. Pedi que ele faço o cadastro no app, para colocar a sua permissão. Disse que a Thaisa é a sua sócia. E combinei com o td para daqui 15 dias para verificarmos a evolução do programa.",
O Franguês ?? - Jardim Astro,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Sablé - Setor Marista,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"Começará na segunda.
 Cliente com 1 máquina antiga.",
Boteco Do Bodega - Vila Real,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"- 11/12 - Funcionários estão fraudando o programa de pontos. Entramos em contato com Irio (TD) e enviei planilha com infos da suspeita de fraude
 @Ana Carvalho 27/05/2020: Tentei contato pelo whatsapp e não obtive resposta. Só visualizaram! {CAMPANHA DE OFERTAS ATIVAS}
 @Ana Carvalho 28/05/2020: Tentei novamente contato pelo whatsapp e não obtive resposta. visualizou e ouviu mas não respondeu; {CAMPANHA DE OFERTAS ATIVAS}",
Laluxe Fit - Chácara Santo Antônio (Zona Sul),,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,Retiram da Collact quando a maquininha para de responder aos comandos,
Tuira Acai Dn - Lago norte,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Hp Suplementos - Pedreira,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"91981175761
 @Karla Nogueira 02/06/2020: Não atendeu a ligação, enviei um whats para agendarmos para quinta às 13:30
 03/06/2020: Disparo de mensagem para religação das ofertas, td disse ok e já confirmou a call de amanhã.
 04/06/2020: o td não entrou na demo, não respondeu, só visualizou a mensagem",
Bestburguer - Guarani,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"Mobile:
 47988655456
 Other Phone:
 4733084020",
Ponto Natural - Jardim Jalisco,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Eskina 203 - SETOR LESTE UNIVERSITARIO,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"@Ana Carvalho 25/05/2020: {CAMPANHA DE OFERTAS ATIVAS} Falei com o td, ele só pode às 15:30, agendei para amanhã.
 @Ana Carvalho 26/05/2020: Falei com o TD, ele não conseguiu entrar no link, realizamos a demo pela videochamada do whatsapp. Conversamos sobre novas estratégias e da importância das ofertas. Combinamos de tentar a demo amanhã para apresentar a plataforma em conjunto com o agente - Bruno, pois foi quem fez a oferta ativa com ele.
 @Ana Carvalho 27/05/2020: Falei com a Td, chamada de video por whatsapp porque ele não conseguia falar no whereby, mas conseguimos fazer a demo. ele compreendeu e agendamos para daqui 15 dias fazer uma nova demo.
 03/06/2020: Disparo de mensagem para religação das ofertas, td disse ok",
Buffalo Churrascaria - Izaura Parente,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,68992020162 Mauricio,
Vó Alzira Botafogo 2 - Av. Pasteur - BOTAFOGO,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"Preferiu remarcar a ligação com mais calma, quer um contato mais próximo e reclamou que não tem visita presencial.
 
 ** Recusou a chamada",
Armazém do Bolo - Mooca,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,**,
Salada Verde - Centro,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Restinga Restaurante - Sambaqui,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Soleil Café - Centro,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,52000000000,
Mugs Casa de Chás e Cafés Especiais - Asa Norte,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Dorf Haus Bistro Bakery - Vila Mariana,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Gustai - Shopping da Ilha - Cohama,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Yayoi Sushi Bar - Nossa Senhora de Lourdes,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Dew Restaurante - Rua Chafic Maluf 221,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Lanche do Sena - Nova Floresta,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"Cliente não atendeu o telefone!
 Ligar depois das 18. Wont Happen.",
El Frango - SAO JOAO,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Dolcissimo Sabore - Jardim Umuarama,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"SOBRE O PAPO:
 31/07 - contato: WPP, respondeu e foi receptivo
 
 Fiz troca da logo, instruí sobre abrir o app todos os dias, como convidar os seus clientes e cadastrar TODOS os clientes e sobre o resgate de créditos
 
 Firmou compromisso e entendeu o cadastro como principal foco",
Cafe Dom Lucas - São João,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"@Ana Carvalho 22/05/2020: falei com a td, ela disse que segunda entre 10h e 11h ou depois das 14h são horários tranquilos. Agendei para 10:30
 @Ana Carvalho 25/05/2020: Falei com a TD, ela está com alguns problemas no cadastramento (não está aparecendo a opção do CPF após o pagamento) e não consegue realizar resgates. Combinei que entro em contato até quarta para uma solução e outro agendamento para daqui 15 dias para verificarmos o andamento dos cadastros.
 03/06/2020: Disparo de mensagem para religação das ofertas, mas não obtive resposta - só visualizou.",
Petite Patisserie - Santana,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Loris Cafe Bistro - Vila Santa Catarina,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Brewsnake - Bar da Fábrica - Centro,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"45999862979 - Francieli (nunca responde whats, só atende ligação às vezes)
 45998137450 - Rafael (sócio e, aparentemente, mais acessível)",
Le Pain Rustique Lago - Lago Sul,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Fratelli Pizzaria - Centro,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"Havia enviado uma mensagem mas não obtive resposta.
 Liguei sem sucesso e deixei uma nova mensagem.
 
 Cliente disse",
Ichiban Soba - Centro,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,68000000000,
Di Mare II - Cidade Universitária,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Salgadaria Imperial - Cônego Getúlio,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"34999610449 telefone do TD
 TD só chega ao EC a partir das 14h",
Flamy - Jardim Das Paineiras,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Gracias! Empanadas - Jockey Plaza - Shopping Jockey Plaza - Tarumã,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,42000000000,
Restaurante Bom Sabor - Santa Cruz,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,!,
Duckbill Osasco - SuperShopping Osasco,,,Limpeza de Funil,2024-12-09T13:33:11.592Z,,,"06/12 - Estratégia por whats enviada.
 
 Cliente gostaria que a collact fosse mais proativa. Não vai se mover não.",
Exp Burgers - Vila Miguel Couto,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"13/12 - mensagem de despedida
 06/12- FUP
 05/12 - estratégia por e-mail
 03/12 - e-mail com estratégia",
Senas Bar Restaurante - Jardim Santa Francisca,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Sorveteria Amor Gelado - Riacho Fundo II,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Esquina Choperia - Alvorada I,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,93000000000,
Redsalt Casa De Carnes - CENTRO,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Quem Temperou - Asa Sul,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Maya Cafe - Laranjeiras,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,Ricardo AMOU o Compre Local. Ele acredita muito na Stone e pede uma ajuda para salva-los do iFood onde as taxas são gigantescas. Vamos encaminhar vídeo para seus motoboys para engajamento,
D Vitaminas O2 - Barra da Tijuca,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,FUP 16/10,
Caravellas Peixe Bar - Morada do Sol,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,22 mesas e 1 balcão,
4ever Suplementos 2 - Bragança Garden Shopping,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Fabrica De Delicias - Zona 04,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
NF Projeto FIT - Rio de Janeiro,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Chocolates Ariane - Vila Progredior,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Sr. Banana Açaí Inocoop - BELA VISTA - INOCOOP,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,"71 993524417 - Suzane, esposa do TD, cuida do Financeiro",
Cafe Zoco - Casa Caiada,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Ze Palito - Stella Maris,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,71991910613 - André,
4Gun Airsoft Experience - JARDIM BOTANICO,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Torteria - Higienópolis,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,,
Dudu Lanches - Zona II,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,*,
FireWood - Jardim das Laranjeiras,,,Limpeza de Funil,2025-01-24T20:36:47.046Z,,,**,
