name,url,phone,cnpj,streetAddress,neighborhood,zipcode,rating,email,cuisine,priceRange
Pizzaria Pappinne | CARIACICA | iFood,https://www.ifood.com.br/delivery/cariacica-es/pizzaria-pappinne-vila-palestina/04e96d2d-98a4-4d40-abaa-5b4828e7e5cc,997044669,60354930000175,Rua das Cruzadas 158,Vila Palestina,29145820,4.6,false,"""Pizza""","""$"""
La-donny Forno a Lenha | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/la-donny-forno-a-lenha-caratoira/cf626376-b85f-444c-bb52-52fabce56c5d,999714769,43243042000166,loja 1 465,Caratoíra,29026075,4.5,false,"""Pizza""","""$"""
Receitas da Val | CARIACICA | iFood,https://www.ifood.com.br/delivery/cariacica-es/receitas-da-val-bela-vista/256efdf0-5b9e-4848-a464-dbb786c321c3,40032665,32717457000108,Avenida Aymorés 51,Bela Vista,29142353,4.9,false,"""Comida Brasileira""","""$$"""
Grand Duke Café | CARIACICA | iFood,https://www.ifood.com.br/delivery/cariacica-es/grand-duke-cafe-vera-cruz/3033eba2-47eb-4739-b0e1-de52bf508450,988149711,34715869000134,Rua Manoel José da Silva 119,Vera Cruz,29146783,4.9,false,"""Doces &amp; Bolos""","""$"""
Subway Centro Vitória - Sanduíches | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/subway-centro-vitoria---sanduiches-centro/748be6c4-cee4-40a7-b83d-355da7325208,30220017,19624277000113,Av. Princesa Isabel Centro 549,Centro,29010361,4.9,false,"""Lanches""","""$"""
Marmita Moxuara Parmegiana &amp; Feijoada | CARIACICA | iFood,https://www.ifood.com.br/delivery/cariacica-es/marmita-moxuara-parmegiana--feijoada-vera-cruz/b1f5df5c-5e09-40a8-bac4-01ce83a54ef5,992847538,41673375000108,Rua Angelina Postay 23,Vera Cruz,29146796,4.8,false,"""Comida Brasileira""","""$"""
Açaí Tropical | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/acai-tropical-alecrim/2af9dc61-7d99-4f08-be37-7c505afbca0b,988167289,56178960000109,Rua Tupi 14,Alecrim,29118113,4.9,false,"""Açaí""","""$"""
Léo Burger Delivery | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/leo-burger-delivery-paul/8b0a60de-aff4-45a6-838d-27b56c480893,981447919,27699652000112,Travessa Amanda 5,Paul,29115122,4.8,false,"""Lanches""","""$"""
Booburger | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/booburger-santo-antonio/5360b885-c8cd-49a5-90b2-855f5b783f09,992665313,42808229000105,Rua Leôncio Nunes 48,Santo Antônio,29026250,4.9,false,"""Lanches""","""$"""
Restaurante Duas Irmãs | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/restaurante-duas-irmas-bela-vista/6ef3997c-b2d5-496b-bae4-59704dbcf0aa,998540555,14755905000186,Rua João Soares 110,Bela Vista,29027495,4.8,false,"""Comida Variada""","""$"""
Prazerito Restaurante - Vitória | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/prazerito-restaurante---vitoria-santo-antonio/9e96f3f6-b487-41db-86a0-4f58f4f7f6c7,997592911,56266720000158,Rua leoncio Nunes 48,Santo Antônio,29026250,4.9,false,"""Comida Brasileira""","""$"""
53 Burguer Delivery | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/53-burguer-delivery-vila-batista/caa3ddbc-cef5-41ab-9280-4237387205f0,999531898,40682206000163,"Olindo Almeida (Arlinda Almeida),  34",Vila Batista,29116020,4.9,false,"""Lanches""","""$"""
Papaleguitos Franguinho e Burguer | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/papaleguitos-franguinho-e-burguer-nova-america/44b33997-668d-4168-be59-5de5e0b20074,997843534,27185067000102,Avenida Iracy Corteletti 16,Nova América,29111840,4.8,false,"""Lanches""","""$$$"""
Sushi Rão - Vitória | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/sushi-rao---vitoria-gurigica/8840f32e-a570-42ac-b19d-1a860aee9eff,996258072,46381571000114,Av. Leitão da Silva 1379,Gurigica,29046005,4.7,false,"""Comida Japonesa""","""$"""
Imperio Burger | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/imperio-burger-jucutuquara/aabb8341-01b4-4d57-93f2-48a5961bdb1b,992322805,48605061000109,Rua Antero de Almeida 89,Jucutuquara,29040710,4.9,false,"""Lanches""","""$"""
Leticia Lima Salgados  | CARIACICA | iFood,https://www.ifood.com.br/delivery/cariacica-es/leticia-lima-salgados-jardim-america/de90060e-c6e9-4dfc-a19f-4d429dfadbab,998452001,38426329000191,Rua Ottawa 5,Jardim América,29140340,5,false,"""Salgados""","""$"""
Açaí dos Reis São Cristovão | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/acai-dos-reis-sao-cristovao-tabuazeiro/4bac1196-a18e-4ed8-bf28-bf61f97df2a2,996622353,37881951000127,Avenida Coronel José Martins de Figueiredo 965,Tabuazeiro,29048505,4.5,false,"""Açaí""","""$"""
Padaria Forno Grande | CARIACICA | iFood,https://www.ifood.com.br/delivery/cariacica-es/padaria-forno-grande-campo-grande/5c78d280-cc4d-497a-9846-4e0517999de7,997985467,07887313000152,Avenida Ministro Eurico Salles 561,Campo Grande,29146140,4.9,false,"""Padaria""","""$"""
Pizzaria Lavi | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/pizzaria-lavi-itarare/7d62876a-1b53-4c76-8529-45643b950432,31006022,52807115000196,RUA DAS PALMEIRAS 33,ITARARE,29047550,4.7,false,"""Pizza""","""$"""
XanDeco na Garagem (Jantar e Porções) | CARIACICA | iFood,https://www.ifood.com.br/delivery/cariacica-es/xandeco-na-garagem-jantar-e-porcoes-alto-lage/86cccf90-0f74-4be8-ab61-110112b00784,992044665,44782685000140,Rua Rui Barbosa 84,Alto Lage,29151150,4.9,false,"""Comida Brasileira""","""$"""
Taberna Burger | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/taberna-burger-mario-cypreste/eed5b98b-e36f-4721-b698-ef88b1832b3f,981283891,48857367000152,Avenida Antônio Pinto de Aguiar 76,Mário Cypreste,29027200,4.9,false,"""Lanches""","""$"""
Laví Forno a Lenha | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/lavi-forno-a-lenha-itarare/06074809-e48a-4360-b488-b2e74874406e,998412123,57629224000184,Rua das Palmeiras 33,Itararé,29047550,4.6,false,"""Pizza""","""$"""
Pizza Torre - Pizzaria e Esfiharia | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/pizza-torre---pizzaria-e-esfiharia-maruipe/30559bc7-e290-4210-957f-1a19783aa6fb,33762243,41417992000134,Avenida Coronel José Martins de Figueiredo 349,Maruípe,29043060,4.8,false,"""Pizza""","""$"""
Kensei Delivery | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/kensei-delivery-maruipe/59a71b18-c9b9-4ed4-8a45-6e7bdb08ba02,999928800,61477082000154,Avenida Coronel José Martins de Figueiredo 349,Maruípe,29043060,4.7,false,"""Comida Japonesa""","""$"""
Pizzaria Lá Beka Jucutuquara | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/pizzaria-la-beka-jucutuquara-jucutuquara/e9cbcee5-86d1-44af-8d63-53a301b32fd1,999971394,38819597000173,Avenida Paulino Muller 923,Jucutuquara,29040715,4.7,false,"""Pizza""","""$$"""
Disque Pizza Vila Nova Forno a Lenha | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/disque-pizza-vila-nova-forno-a-lenha-vila-nova/127d52d6-6f25-489d-bb7d-6441421355d6,30137899,33803267000176,Avenida Júnior Marangoni 54,Vila Nova,29105020,4.9,false,"""Pizza""","""$$"""
Mondo Pizza - Tabuazeiro | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/mondo-pizza---tabuazeiro-tabuazeiro/059b471a-59ed-46b7-b4c1-29655165c38e,30972020,43435814000161,AV CORONEL JOSE MARTINS DE FIGUEIREDO 853,TABUAZEIRO,29043060,4.9,false,"""Pizza""","""$$"""
Ilha do Açaí | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/ilha-do-acai-romao/6d47274c-b32e-44df-be3d-167499571fb2,996092275,17206017000100,Rua Vinte e Cinco de Março 40,Romão,29041378,4.9,false,"""Açaí""","""$"""
Ktemperus Marmitaria e  Restaurante | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/ktemperus-marmitaria-e--restaurante-centro/887f17d5-8b98-40f2-90a7-ac16e71d60a3,998292391,54886000000160,Rua Sete de Setembro 270 270,Centro,29015903,4.8,false,"""Marmita""","""$"""
Green Station Centro Vitoria | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/green-station-centro-vitoria-centro/b20fcd5b-d7b0-46c6-9434-ee7b2d0edbd1,997667275,29195436000165,RUA PROFESSOR BALTAZAR 171,CENTRO,29015180,4.7,false,"""Comida Saudável""","""$$"""
Rainha das Marmitas - Entrega Rápida | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/rainha-das-marmitas---entrega-rapida-centro/f0578063-5bb1-420b-a33a-b9a0d6286493,998292391,55797908000160,R. Sete de Setembro 270,Centro,29015000,4.7,false,"""Comida Brasileira""","""$"""
"La Chapa Maruípe - Pizzas, Lanches e Porções | VITORIA | iFood",https://www.ifood.com.br/delivery/vitoria-es/la-chapa-maruipe---pizzas-lanches-e-porcoes-maruipe/f0dcf216-307c-4125-9dde-79097f957035,995015321,52697103000156,Avenida Coronel José Martins de Figueiredo 1345,Maruípe,29043060,4.9,false,"""Lanches""","""$"""
Supremo Vix - Hamburgueria | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/supremo-vix---hamburgueria-consolacao/1258322e-6f6b-4b50-b126-ffc4a19fb016,996656769,62141977000186,Rua Doutor Américo Oliveira 255,Consolação,29045565,4.6,false,"""Hambúrguer""","""$"""
Tomy Açaí Bento Ferreira | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/tomy-acai-bento-ferreira-bento-ferreira/2a1add89-8198-43a0-82cb-36be12f1ebad,998369317,61727799000107,Avenida Carlos Moreira Lima 481,Bento Ferreira,29050653,4.7,false,"""Açaí""","""$"""
Mega Dog - Tabuazeiro | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/mega-dog---tabuazeiro-maruipe/34e2da5e-e5ba-402e-9032-338957993ac5,997797368,33726843000129,Avenida Coronel José Martins de Figueiredo 1100,Maruípe,29043060,4.5,false,"""Comida Variada""","""$"""
Churrascaria e Franguinho Bom de Garfo | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/churrascaria-e-franguinho-bom-de-garfo-tabuazeiro/3c4c340e-710e-49fb-9c3f-e9a9c4a143b3,998840760,42677532000108,Avenida Coronel José Martins de Figueiredo 880,Tabuazeiro,29043405,4.6,false,"""Marmita""","""$"""
Ninil Restaurante | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/ninil-restaurante-centro/449b9d91-2b26-437f-b57e-a1576f7f7a8e,997459247,39521073000164,Rua Barão de Itapemirim 156,Centro,29010060,4.8,false,"""Marmita""","""$"""
Burger King - Vitória Reta da Penha | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/burger-king---vitoria-reta-da-penha-bela-vista/53d879ae-2f4e-4fe9-83ab-aa416c11c812,55255260,13574594102274,Av. Nossa Sra. da Penha 2534,Bela Vista,29045402,4.7,false,"""Lanches""","""$"""
Disk Pizza - ❌villa Nova❌ | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/disk-pizza---villa-nova-vila-nova/5691a0c3-abb4-4e58-ad38-dd9ba90b0567,30137899,34382454000196,Avenida Júnior Marangoni 44,VILA NOVA,29105020,4.9,false,"""Pizza""","""$$$"""
Açaí dos Reis - Tabuazeiro | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/acai-dos-reis---tabuazeiro-santa-cecilia/596c8acf-8ee0-4702-b7b1-f06551c69d8f,996442464,25039387000110,Rua José Cassiano dos Santos 440,Santa Cecilia,29043085,4.6,false,"""Açaí""","""$"""
Rei do Bolo Vitoria | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/rei-do-bolo-vitoria-centro/74642a19-5b1d-4c04-b433-38f0b922013c,40032665,53935368000108,Av. Pres. Florentino Ávidos 363,Centro,29010240,4.8,false,"""Doces &amp; Bolos""","""$"""
Expresso Lanches / Burguer | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/expresso-lanches---burguer-tabuazeiro/91257a9f-4346-447a-8df6-e7abce92ac70,999604027,39525929000170,Avenida Coronel José Martins de Figueiredo 775,Tabuazeiro,29043060,4.9,false,"""Lanches""","""$"""
Da Ranny Açaí | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/da-ranny-acai-bela-vista/a50983e1-8bd9-4362-b3fb-4c588b7a8e3f,988743412,44708330000101,Rua Doutor Ivan Ramos Medeiros 22,Bela Vista,29027425,4.9,false,"""Açaí""","""$"""
Padaria Monza - Fradinhos | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/padaria-monza---fradinhos-maruipe/d7d7c4ae-1248-416d-a92d-9b78fddbfac9,40030052,08064872000125,Rua José Cassiano dos Santos 40,Maruípe,29043085,4.8,false,"""Padaria""","""$"""
Kammoro´s - Franguinho e Camarão | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/kammoros---franguinho-e-camarao-cocal/df1bba34-3b0d-4a1d-98ca-dad46cc43fd6,999972323,37551547000195,Rua Dez 11,Cocal,29105300,4.7,false,"""Lanches""","""$"""
Disk Pizza Eloy | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/disk-pizza-eloy-pedra-dos-buzios/141d166b-393a-4eef-b94a-6fdf11368928,998382163,49570503000191,rua  Paulo Araujo  ( RUA  LATERAL SEM SAIDA ) 38,Pedra dos Búzios,29116160,4.9,false,"""Pizza""","""$"""
Suprema Pizza  | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/suprema-pizza-santa-monica/15edae15-e3d9-4323-9f87-e178d063ee0e,998724193,50353635000140,RUA VINTE 60,SANTA MONICA,29105400,4.8,false,"""Pizza""","""$"""
Kammoro&#x27;s - Franguinho e Camarão | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/kammoros---franguinho-e-camarao-itarare/1d363790-7905-4125-95af-d85dfe92efee,998781105,55866841000178,Rua das Palmeiras 26,Itararé,29047550,4.7,false,"""Frangos""","""$"""
Sabor Brasil | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/sabor-brasil-alvorada/2d7819c2-a4f4-4f68-8650-f241f192badd,33263558,14692828000162,Rua Itororó 31,Alvorada,29117500,4.8,false,"""Comida Brasileira""","""$"""
Home Sushi Home - Vix/vv | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/home-sushi-home---vix-vv-santa-helena/4fbabb69-68d1-4993-894e-6e7467f5417a,999304041,53871486000108,Praça Cristóvão Jaques 61,Santa Helena,29055070,4.8,false,"""Comida Japonesa""","""$"""
Divina Cozinha | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/divina-cozinha-maruipe/50f51c63-9101-4e91-8350-97c949ca1687,996442464,61069914000101,Rua José Cassiano dos Santos 440,Maruípe,29043085,4.4,false,"""Marmita""","""$"""
Luigi Sorvetes - Santo Antônio | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/luigi-sorvetes---santo-antonio-santo-antonio/e0cef1b4-5635-4350-9044-cb5579d42375,999581980,17343382000159,Rua Ernesto Bassini 70,Santo Antônio,29026225,4.9,false,"""Sorvetes""","""$$"""
Cristina Marmitex Delivery | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/cristina-marmitex-delivery-ilha-das-flores/ed203109-abad-4bde-8c07-d4fa084942ce,40030053,18914025000166,R PASCOAL PONZO 170,ILHA DAS FLORES,29115570,4.7,false,"""Marmita""","""$"""
Mangushoyu - Vix/vv | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/mangushoyu---vix-vv-santa-helena/f71d9b35-8935-43c6-b63e-22bdb4f31e8d,999304041,53871486000108,Praça Cristóvão Jaques 61,Santa Helena,29055070,4.9,false,"""Comida Saudável""","""$"""
Franguinho do Mix - Frango Crocante  | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/franguinho-do-mix---frango-crocante-garoto/fcae173b-086e-434d-bb13-7b4744c2df1e,996657742,32962114000109,Avenida Jerônimo Monteiro 1623,Garoto,29121015,4.7,false,"""Lanches""","""$$$"""
Mcdonald&#x27;s - Reta da Penha (rdp) | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/mcdonalds---reta-da-penha-rdp-barro-vermelho/23c7fe3e-d82a-41b0-ac53-82c46ce9dffd,33765715,04037273000595,Rua Constante Sodré 777,Barro Vermelho,29057545,4.8,false,"""Lanches""","""$$"""
Cup Ice Açaí | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/cup-ice-acai-alvorada/41badd1a-6561-4d5c-b860-968a9440abec,998860051,28358938000105,Rua Libra 17,Alvorada,29117240,4.9,false,"""Açaí""","""$"""
Self Service do Chico | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/self-service-do-chico-tabuazeiro/4d3e507f-6f83-4097-9aad-69c28e07d841,33221843,30780779000176,Avenida Coronel José Martins de Figueiredo 349,Tabuazeiro,29043060,4.8,false,"""Marmita""","""$"""
Pizzaria Pertutti | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/pizzaria-pertutti-jucutuquara/53e49c7d-7946-42b6-8a0b-190e200e0bd3,40046768,51571350000149,Avenida Paulino Muller 1234,Jucutuquara,29040712,4.7,false,"""Pizza""","""$"""
Regias Lar Gourmet | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/regias-lar-gourmet-alvorada/c33eff80-bf1e-407a-9e3d-6333f85708f6,999460826,48614281000107,R. Ana Siqueira 137,Alvorada,29117315,4.9,false,"""Cozinha Rápida""","""$"""
Lavinia Pizzaria - Forno a Lenha | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/lavinia-pizzaria---forno-a-lenha-mata-da-praia/cbfe5db6-550d-49f8-9788-ee7b7d2c04ea,998412123,60846262000101,Avenida Hugo Viola 955,Mata da Praia,29065475,4.5,false,"""Pizza""","""$"""
Nai Costa Confeitaria I Exclusivamente em Jucutuquara | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/nai-costa-confeitaria-i-exclusivamente-em-jucutuquara-jucutuquara/ed5fe658-d86c-41d7-9152-1b74e66be400,997178339,22334503000136,Rua Lisandro Nicoletti 380,Jucutuquara,29041630,4.9,false,"""Doces &amp; Bolos""","""$"""
Skina Lanches &amp; Chicken | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/skina-lanches--chicken-maruipe/16965782-3be9-49b2-936f-4dd69c58f634,33176786,29131594000151,Avenida Coronel José Martins de Figueiredo 1180,Maruípe,29043405,4.8,false,"""Lanches""","""$$"""
Acai Crystal | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/acai-crystal-centro/3f6eb3fb-20c5-4d26-ae01-fe7f6cca4708,40032665,44999573000146,praça ubaldo ramalhete maia 72,Centro,29015560,4.8,false,"""Açaí""","""$"""
Restaurante Flamboyant | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/restaurante-flamboyant-centro/4ea9e0d5-6f95-4e18-a6d9-1035e761fa17,999172571,39798970000110,Avenida Jerônimo Monteiro 971,centro,29010003,4.8,false,"""Marmita""","""$"""
Pastelaria Parada Ibiraçu - Vitória | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/pastelaria-parada-ibiracu---vitoria-consolacao/56e23000-2c2c-4cd7-b333-697dcb7abacd,40032665,11941613000140,Avenida Marechal Campos 370,Consolação,29045460,4.9,false,"""Pastel""","""$"""
Pizza Fettástica - Vix/vv | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/pizza-fettastica---vix-vv-santa-helena/646a1cb2-6418-4431-b553-b604cd8b01e2,999304041,48540820000100,Praça Cristóvão Jaques 75,Santa Helena,29055070,4.8,false,"""Pizza""","""$"""
N1 Chicken - Frango Frito Crocante | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/n1-chicken---frango-frito-crocante-de-lourdes/af7f7d95-85ad-4e08-a2bb-edbb3555fab1,996279874,43923967000158,Avenida Marechal Campos 459,de Lourdes,29042755,4.8,false,"""Lanches""","""$$$"""
Spot Grill Restaurante | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/spot-grill-restaurante-monte-belo/bc8d074b-2fe0-4de4-9fad-c71f7db03dd7,32077914,36417111000145,Avenida Jair Etienne Dessaune 540,Monte Belo,29053325,4.6,false,"""Marmita""","""$"""
Irado Açaí | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/irado-acai-paul/bfbc84ba-a502-47bf-9eb5-89947d230512,999152375,59924713000194,Rua Hermídio Thomazini 42,Paul,29115175,4.9,false,"""Açaí""","""$"""
Espetos da Ilha | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/espetos-da-ilha-ilha-do-principe/daa33225-61e3-408c-8a0d-65500dcfc173,996501288,45826642000182,Rua Fenelon Gomes 131,Ilha do Príncipe,29020380,4.3,false,"""Comida Brasileira""","""$"""
Sfiheria - Esfihas e Pratos Árabes - 20 Anos | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/sfiheria---esfihas-e-pratos-arabes---20-anos-jardim-da-penha/0176eeef-be73-407f-a07b-4dfe3252e1e8,33255566,53732650000198,Avenida Anísio Fernandes Coelho 1630,Jardim da Penha,29060670,4.8,false,"""Lanches""","""$$$"""
Marmitex da Vovó - Marmita Caseira | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/marmitex-da-vovo---marmita-caseira-praia-do-sua/179bcba6-16ae-4997-8920-e7cfd8c5efca,08004251,60251603000198,Rua Ulisses Sarmento 420,Praia do Suá,29052320,4.3,false,"""Marmita""","""$"""
Soul Healthy | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/soul-healthy-enseada-do-sua/32cef320-f1e8-4213-8fa5-8ed80c56bb83,32073867,55478386000133,R. Licínio dos Santos Conte 51,Enseada do Suá,29050330,4.9,false,"""Comida Saudável""","""$"""
Bonna Pizza Ataide | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/bonna-pizza-ataide-ataide/3492cfdf-b65d-4385-85f0-88a14a63cb8b,32897478,37392323000188,Rua Presidente Getúlio Vargas 366,Ataíde,29116460,4.8,false,"""Pizza""","""$$$"""
Projeto Brasa Hamburgueria 🍔🔥 | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/projeto-brasa-hamburgueria--santa-lucia/38a11bb1-24f2-4436-a0ec-f3085c2a0389,995265590,36253727000128,Rua Doutor Eurico de Aguiar 900,Santa Lúcia,29056200,4.8,false,"""Lanches""","""$$$"""
Suprema Pizza - Santa Monica | VILA VELHA | iFood,https://www.ifood.com.br/delivery/vila-velha-es/suprema-pizza---santa-monica-santa-monica-popular/4a7e38ae-930f-4dd6-b4e8-b8bd0dade854,998724193,58620970000170,Rua Vinte 60,Santa Mônica Popular,29105400,4.8,false,"""Pizza""","""$"""
Yan Ping - Shopping Vitória | VITORIA | iFood,https://www.ifood.com.br/delivery/vitoria-es/yan-ping---shopping-vitoria-enseada-do-sua/5f7cbc22-96fd-4cb0-a0bd-f3c9f3238bb1,981384600,54338601000138,Avenida Américo Buaiz 200,Enseada do Suá,29050902,4.7,false,"""Comida Japonesa""","""$"""
